,Parameter_B,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Credits,,,,Year
117,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     OC,0.011749175134387464,g/kg,,,,,,,,,2022
118,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,Energy Use: mmBtu/ton,0.0,,,,,,,,,,2022
119,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     Total Energy,32.39112126164244,mmBtu/ton,,,,,,,,,2022
120,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     Fossil fuels,32.28887029640932,mmBtu/ton,,,,,,,,,2022
121,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     Coal,0.17369656550357981,mmBtu/ton,,,,,,,,,2022
122,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     Natural gas,31.189125924490845,mmBtu/ton,,,,,,,,,2022
123,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     Petroleum,0.9260478064148931,mmBtu/ton,,,,,,,,,2022
124,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,Water consumption: gallon/ton,411.99686664713795,gallons/ton,,,,,,,,,2022
125,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,Total Emissions: grams/ton,0.0,,,,,,,,,,2022
126,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     VOC,4630.584782486703,g/ton,,,,,,,,,2022
127,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     CO,4797.665331425302,g/ton,,,,,,,,,2022
128,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     NOx,1866.2207338942171,g/ton,,,,,,,,,2022
129,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     PM10,77.19832299161439,g/ton,,,,,,,,,2022
130,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     PM2.5,70.02705258275839,g/ton,,,,,,,,,2022
131,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     SOx,622.0677237545794,g/ton,,,,,,,,,2022
132,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     BC,11.16192353157795,g/ton,,,,,,,,,2022
