,Item,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Year
155,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     CH4,18948.574563151422,g/ton,,,,,2021
156,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     N2O,39.09565727149493,g/ton,,,,,2021
157,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     CO2,1981752.7904927405,g/ton,,,,,2021
158,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,Urban Emissions: grams/ton,0.0,,,,,,2021
159,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     VOC,18.01720071747639,g/ton,,,,,2021
160,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     CO,79.29578792953943,g/ton,,,,,2021
161,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     NOx,115.14068857051384,g/ton,,,,,2021
162,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     PM10,3.1570487992497824,g/ton,,,,,2021
163,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     PM2.5,2.7274350607055524,g/ton,,,,,2021
164,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     SOx,23.166420029913983,g/ton,,,,,2021
165,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     BC,0.3462668556708439,g/ton,,,,,2021
166,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     OC,0.9397157487758694,g/ton,,,,,2021
167,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,Energy Use: mmBtu/ton of product,0.0,,using placeholder Alcohol Synthesis Catalyst,,,,2021
168,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Total Energy,134.452363111804,mmBtu/ton,,,,,2021
169,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Fossil Fuels,71.6215295488609,mmBtu/ton,,,,,2021
170,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Coal,7.02108823236694,mmBtu/ton,,,,,2021
171,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Natural Gas,38.978377623754525,mmBtu/ton,,,,,2021
172,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Petroleum,25.622063692739424,mmBtu/ton,,,,,2021
173,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,"Water consumption, gallons/ton",7451.180378632677,gallons/ton,,,,,2021
174,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,Total Emissions: grams/ton,0.0,,,,,,2021
175,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     VOC,1612.3890427461713,g/ton,,,,,2021
176,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     CO,6450.988641706657,g/ton,,,,,2021
177,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     NOx,6969.630465955887,g/ton,,,,,2021
178,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     PM10,7232.050657603853,g/ton,,,,,2021
179,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     PM2.5,1022.3456944720041,g/ton,,,,,2021
180,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     SOx,7992.107077500846,g/ton,,,,,2021
181,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     BC,66.2813016877599,g/ton,,,,,2021
182,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     OC,92.8039422369046,g/ton,,,,,2021
183,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     CH4,12749.989283143646,g/ton,,,,,2021
184,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     N2O,1183.6683313709045,g/ton,,,,,2021
185,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     CO2,3061392.3974680468,g/ton,,,,,2021
186,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,Urban Emissions: grams/ton,0.0,,,,,,2021
187,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     VOC,91.32633535769308,g/ton,,,,,2021
188,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     CO,227.88267484655088,g/ton,,,,,2021
189,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     NOx,392.00600971789277,g/ton,,,,,2021
190,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     PM10,37.055892282325665,g/ton,,,,,2021
191,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     PM2.5,30.787294630746032,g/ton,,,,,2021
192,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     SOx,270.2236437159339,g/ton,,,,,2021
193,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     BC,2.392625743295731,g/ton,,,,,2021
194,Purchased Inputs,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     OC,6.35702556134901,g/ton,,,,,2021
195,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,Energy Use: mmBtu/ton of product,0.0,,using placeholder Alcohol Synthesis Catalyst,,,,2021
196,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Total Energy,134.452363111804,mmBtu/ton,,,,,2021
197,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Fossil Fuels,71.6215295488609,mmBtu/ton,,,,,2021
198,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Coal,7.02108823236694,mmBtu/ton,,,,,2021
199,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Natural Gas,38.978377623754525,mmBtu/ton,,,,,2021
200,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Petroleum,25.622063692739424,mmBtu/ton,,,,,2021
201,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,"Water consumption, gallons/ton",7451.180378632677,gallons/ton,,,,,2021
202,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,Total Emissions: grams/ton,0.0,,,,,,2021
203,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     VOC,1612.3890427461713,g/ton,,,,,2021
204,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     CO,6450.988641706657,g/ton,,,,,2021
205,Purchased Inputs,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     NOx,6969.630465955887,g/ton,,,,,2021
